event_id,customer_id,event_type,event_timestamp,page_url,session_id,device_type,browser
EVT0000000001,CUST001205,purchase,2026-02-06 05:20:42,/products/489,SESS00003317,Desktop,Edge
EVT0000000002,CUST001569,login,2026-01-26 10:53:22,/products/23,SESS00001871,Mobile,Chrome
EVT0000000003,CUST000557,login,2026-02-04 06:45:04,/products/372,SESS00004047,Tablet,Firefox
EVT0000000004,CUST000578,page_view,2026-01-17 08:41:45,/products/456,SESS00000170,Desktop,Safari
EVT0000000005,CUST001432,click,2026-02-08 13:24:36,/products/123,SESS00004736,Tablet,Safari
EVT0000000006,CUST001181,logout,2026-02-04 05:24:46,/products/393,SESS00002127,Mobile,Edge
EVT0000000007,CUST000124,purchase,2026-01-20 10:47:37,/products/392,SESS00002173,Tablet,Chrome
EVT0000000008,CUST000234,checkout,2026-01-16 12:40:08,/products/489,SESS00002047,Mobile,Firefox
EVT0000000009,CUST000399,checkout,2026-02-04 22:53:33,/products/339,SESS00003136,Tablet,Firefox
EVT0000000010,CUST001552,login,2026-02-01 22:45:53,/products/448,SESS00001596,Desktop,Edge
EVT0000000011,CUST001577,login,2026-02-05 01:37:00,/products/92,SESS00002909,Desktop,Chrome
EVT0000000012,CUST001857,click,2026-01-26 09:41:50,/products/485,SESS00004425,Mobile,Chrome
EVT0000000013,CUST000014,checkout,2026-01-25 20:43:57,/products/114,SESS00003379,Mobile,Firefox
EVT0000000014,CUST000849,logout,2026-01-20 06:44:09,/products/62,SESS00000375,Tablet,Chrome
EVT0000000015,CUST001350,checkout,2026-01-25 08:34:25,/products/435,SESS00004373,Mobile,Firefox
EVT0000000016,CUST000914,page_view,2026-02-04 09:19:41,/products/426,SESS00000140,Tablet,Firefox
EVT0000000017,CUST001330,add_to_cart,2026-02-09 17:31:17,/products/452,SESS00004231,Desktop,Chrome
EVT0000000018,CUST000422,logout,2026-01-27 01:02:59,/products/169,SESS00004758,Tablet,Safari
EVT0000000019,CUST000968,purchase,2026-01-27 03:44:58,/products/192,SESS00001533,Tablet,Chrome
EVT0000000020,CUST001070,add_to_cart,2026-01-24 03:31:26,/products/225,SESS00001517,Tablet,Firefox
EVT0000000021,CUST000245,login,2026-01-16 13:52:54,/products/494,SESS00000832,Mobile,Edge
EVT0000000022,CUST001916,checkout,2026-01-24 11:31:00,/products/354,SESS00004250,Mobile,Edge
EVT0000000023,CUST000507,checkout,2026-01-27 04:03:29,/products/247,SESS00001922,Desktop,Firefox
EVT0000000024,CUST001834,add_to_cart,2026-01-25 08:46:50,/products/98,SESS00003086,Desktop,Firefox
EVT0000000025,CUST000900,checkout,2026-02-02 00:32:23,/products/51,SESS00003858,Tablet,Safari
EVT0000000026,CUST001082,click,2026-01-30 07:00:59,/products/161,SESS00004050,Mobile,Edge
EVT0000000027,CUST001657,page_view,2026-02-05 08:34:09,/products/367,SESS00004000,Desktop,Safari
EVT0000000028,CUST001152,checkout,2026-02-05 07:15:58,/products/445,SESS00002691,Mobile,Edge
EVT0000000029,CUST000719,checkout,2026-02-05 18:59:20,/products/234,SESS00001852,Mobile,Edge
EVT0000000030,CUST001567,click,2026-02-08 01:10:55,/products/270,SESS00004090,Desktop,Chrome
EVT0000000031,CUST001450,checkout,2026-01-30 09:30:58,/products/87,SESS00002229,Tablet,Firefox
EVT0000000032,CUST000754,purchase,2026-01-21 13:25:46,/products/244,SESS00001907,Desktop,Edge
EVT0000000033,CUST000551,logout,2026-02-10 09:48:31,/products/444,SESS00004883,Desktop,Chrome
EVT0000000034,CUST001731,checkout,2026-02-11 18:31:51,/products/15,SESS00002117,Mobile,Edge
EVT0000000035,CUST001999,page_view,2026-02-04 00:05:40,/products/322,SESS00004361,Mobile,Edge
EVT0000000036,CUST000034,logout,2026-01-29 05:58:30,/products/175,SESS00002672,Mobile,Edge
EVT0000000037,CUST001869,page_view,2026-01-17 13:39:18,/products/390,SESS00003276,Mobile,Chrome
EVT0000000038,CUST001326,logout,2026-01-26 15:52:14,/products/408,SESS00001888,Desktop,Edge
EVT0000000039,CUST000897,click,2026-01-24 18:22:45,/products/111,SESS00003825,Tablet,Safari
EVT0000000040,CUST000264,login,2026-01-26 00:25:10,/products/245,SESS00000862,Mobile,Firefox
EVT0000000041,CUST000739,click,2026-01-15 07:50:54,/products/482,SESS00004321,Mobile,Firefox
EVT0000000042,CUST000887,purchase,2026-02-01 01:59:31,/products/478,SESS00003711,Tablet,Firefox
EVT0000000043,CUST000202,add_to_cart,2026-01-26 17:30:00,/products/459,SESS00003697,Mobile,Chrome
EVT0000000044,CUST001459,login,2026-02-07 20:51:07,/products/493,SESS00003161,Tablet,Firefox
EVT0000000045,CUST001426,logout,2026-02-02 10:39:20,/products/120,SESS00000338,Desktop,Firefox
EVT0000000046,CUST001737,logout,2026-02-05 19:42:05,/products/150,SESS00002727,Desktop,Firefox
EVT0000000047,CUST000543,login,2026-01-25 15:59:23,/products/341,SESS00002934,Tablet,Chrome
EVT0000000048,CUST000793,click,2026-01-25 07:21:26,/products/111,SESS00000405,Tablet,Edge
EVT0000000049,CUST000493,purchase,2026-02-10 16:24:07,/products/164,SESS00003599,Tablet,Edge
EVT0000000050,CUST000029,add_to_cart,2026-02-01 15:52:26,/products/451,SESS00002502,Tablet,Chrome
EVT0000000051,CUST000037,click,2026-01-29 23:12:18,/products/15,SESS00004500,Mobile,Safari
EVT0000000052,CUST001893,login,2026-02-08 16:57:43,/products/94,SESS00003694,Mobile,Chrome
EVT0000000053,CUST001009,page_view,2026-01-26 21:13:46,/products/494,SESS00003416,Mobile,Safari
EVT0000000054,CUST001558,checkout,2026-02-02 11:03:55,/products/243,SESS00003675,Desktop,Firefox
EVT0000000055,CUST000134,add_to_cart,2026-01-25 19:08:19,/products/484,SESS00003356,Mobile,Safari
EVT0000000056,CUST001255,login,2026-01-16 18:17:49,/products/217,SESS00004035,Mobile,Chrome
EVT0000000057,CUST000713,page_view,2026-02-07 02:32:47,/products/438,SESS00002096,Desktop,Safari
EVT0000000058,CUST000615,login,2026-01-24 00:26:32,/products/56,SESS00001077,Desktop,Edge
EVT0000000059,CUST000974,add_to_cart,2026-02-06 07:26:06,/products/329,SESS00004779,Desktop,Firefox
EVT0000000060,CUST001497,add_to_cart,2026-01-17 23:15:24,/products/254,SESS00003838,Tablet,Safari
EVT0000000061,CUST001436,page_view,2026-02-06 20:18:50,/products/91,SESS00000394,Mobile,Firefox
EVT0000000062,CUST000979,checkout,2026-01-21 03:11:20,/products/410,SESS00001042,Desktop,Chrome
EVT0000000063,CUST001617,logout,2026-01-15 02:12:21,/products/81,SESS00002495,Desktop,Safari
EVT0000000064,CUST001051,login,2026-02-05 00:18:05,/products/472,SESS00002774,Desktop,Edge
EVT0000000065,CUST001631,login,2026-02-11 07:33:05,/products/71,SESS00002814,Mobile,Edge
EVT0000000066,CUST000610,login,2026-01-18 23:53:19,/products/222,SESS00001185,Mobile,Firefox
EVT0000000067,CUST000705,click,2026-01-19 04:58:56,/products/392,SESS00002878,Desktop,Firefox
