order_id,customer_id,order_date,order_amount,order_status,payment_method,shipping_country,discount_applied
ORD00000001,CUST001620,2025-05-24,2697.68,Delivered,Credit Card,Spain,0
ORD00000002,CUST000354,2026-01-14,1732.74,Pending,Bank Transfer,Canada,20
ORD00000003,CUST000557,2025-12-22,1698.06,Shipped,Credit Card,Germany,10
ORD00000004,CUST000479,2025-02-22,1396.35,Cancelled,Bank Transfer,UK,5
ORD00000005,CUST000914,2025-11-12,128.56,Pending,Bank Transfer,Australia,5
ORD00000006,CUST001619,2025-10-05,3634.29,Returned,Debit Card,USA,15
ORD00000007,CUST000212,2025-09-16,4542.7,Returned,Debit Card,Australia,20
ORD00000008,CUST001434,2025-12-07,4593.41,Pending,Debit Card,UK,5
ORD00000009,CUST001406,2025-04-30,3213.2,Cancelled,Credit Card,Germany,20
ORD00000010,CUST001772,2025-07-27,1982.31,Cancelled,Debit Card,Spain,0
ORD00000011,,2025-10-09,3227.1,Returned,Debit Card,Germany,5
ORD00000012,CUST001056,2025-08-04,592.48,Cancelled,Credit Card,USA,5
ORD00000013,CUST000577,2025-05-29,2358.94,Cancelled,Bank Transfer,France,20
ORD00000014,CUST000844,2026-01-01,2490.8,Shipped,Bank Transfer,Italy,0
ORD00000015,CUST001946,2025-10-30,2389.15,Delivered,PayPal,USA,5
ORD00000016,CUST000737,2025-07-16,614.0,Cancelled,Credit Card,Italy,0
ORD00000017,CUST001034,2025-10-04,1758.16,Delivered,Bank Transfer,Germany,5
ORD00000018,CUST001710,2026-01-30,2235.57,Delivered,Bank Transfer,USA,0
ORD00000019,CUST001162,2025-10-26,2368.76,Shipped,PayPal,USA,0
ORD00000020,CUST000750,2025-05-15,3876.46,Delivered,Credit Card,Australia,0
ORD00000021,CUST000690,2025-11-26,2843.15,Shipped,Debit Card,France,10
ORD00000022,CUST001707,2025-10-07,1758.26,Cancelled,Bank Transfer,UK,15
ORD00000023,CUST001538,2026-02-01,2666.63,Cancelled,PayPal,Italy,15
ORD00000024,CUST000558,2025-04-15,2275.33,Delivered,PayPal,Germany,0
ORD00000025,CUST001983,2025-07-26,3598.78,Delivered,Credit Card,Spain,0
ORD00000026,CUST000317,2025-03-31,281.93,Shipped,PayPal,Italy,5
ORD00000027,CUST001295,2025-06-16,744.52,Pending,PayPal,Italy,15
