transaction_id,order_id,transaction_date,amount,currency,transaction_type,status,gateway
TXN00000001,ORD00004960,2025-10-02 15:00:24,2938.81,CAD,Chargeback,Pending,Stripe
TXN00000002,ORD00002102,2025-12-16 15:00:24,870.11,USD,Purchase,Failed,Authorize.Net
TXN00000003,ORD00000622,2025-08-06 15:00:24,3637.73,USD,Refund,Failed,PayPal
TXN00000004,ORD00002901,2025-04-26 15:00:24,3611.06,USD,Refund,Failed,Stripe
TXN00000005,ORD00001483,2025-12-17 15:00:24,4261.23,EUR,Purchase,Failed,PayPal
TXN00000006,ORD00003569,2025-09-22 15:00:24,4366.54,EUR,Refund,Failed,PayPal
TXN00000007,ORD00002872,2025-11-05 15:00:24,1980.86,GBP,Purchase,Failed,Square
TXN00000008,ORD00000219,2025-03-07 15:00:24,125.06,EUR,Purchase,Success,Square
TXN00000009,ORD00002943,2025-11-26 15:00:24,3575.83,EUR,Purchase,Success,Authorize.Net
TXN00000010,ORD00002329,2025-12-06 15:00:24,4572.33,USD,Refund,Pending,Stripe
TXN00000011,ORD00001625,2025-08-04 15:00:24,3698.86,GBP,Chargeback,Success,PayPal
TXN00000012,ORD00001012,2025-09-03 15:00:24,3966.21,EUR,Chargeback,Success,Authorize.Net
TXN00000013,ORD00000288,2025-12-10 15:00:24,4686.98,GBP,Chargeback,Failed,Square
TXN00000014,ORD00003249,2025-02-13 15:00:24,308.6,CAD,Refund,Pending,Stripe
TXN00000015,ORD00000675,2025-12-22 15:00:24,794.03,GBP,Purchase,Success,Authorize.Net
TXN00000016,ORD00000005,2025-04-05 15:00:24,149.91,CAD,Refund,Success,Authorize.Net
TXN00000017,ORD00000064,2025-04-23 15:00:24,2769.43,CAD,Refund,Pending,Stripe
TXN00000018,ORD00000951,2025-10-23 15:00:24,4592.09,EUR,Chargeback,Pending,PayPal
TXN00000019,ORD00004233,2025-06-08 15:00:24,1041.54,CAD,Chargeback,Pending,Stripe
TXN00000020,ORD00001626,2025-04-16 15:00:24,596.01,USD,Chargeback,Failed,Authorize.Net
