general_policy_number,broker_partner_identifier,general_product_code,underwriting_rule_identifier,policy_issue_date,coverage_start_date,coverage_end_date,policy_status,insured_asset_type,insured_value_amount
GEN_POL_001,GEN_BRK_015,GEN_PROD_019,GEN_UW_018,2025-04-08,2021-05-02,2027-07-18,MATURED,INSTITUTION,224073.31
GEN_POL_002,GEN_BRK_015,GEN_PROD_019,GEN_UW_007,2019-07-13,2019-10-04,2027-06-04,LAPSED,OWNER,151646.45
GEN_POL_003,GEN_BRK_017,iGEN_PROD_005,GEN_UW_002,i2025-13-40,2017-03-25,2027-01-10,INVALID_STATUS,DROP,-26771.97
GEN_POL_004,GEN_BRK_029,GEN_PROD_011,GEN_UW_003,2020-04-18,2016-09-12,2028-12-16,MATURED,SUMMER,161885.65
GEN_POL_005,GEN_BRK_002,GEN_PROD_008,GEN_UW_015,2021-09-04,2019-01-05,2028-06-16,LAPSED,TOTAL,131493.07
GEN_POL_006,GEN_BRK_020,GEN_PROD_006,GEN_UW_012,2019-03-30,2021-06-24,2024-10-24,LAPSED,SUCH,229566.26
GEN_POL_007,GEN_BRK_013,GEN_PROD_014,GEN_UW_011,2024-11-08,2017-07-18,2025-08-04,MATURED,ACT,14987.358
GEN_POL_008,GEN_BRK_026,GEN_PROD_011,GEN_UW_003,2022-04-02,2018-01-02,2025-03-05,LAPSED,CENTER,24531.98
GEN_POL_009,GEN_BRK_022,GEN_PROD_013,GEN_UW_010,2024-02-17,2023-10-18,2028-05-03,LAPSED,FOUR,181209.68
GEN_POL_010,GEN_BRK_022,GEN_PROD_020,GEN_UW_005,2020-02-19,2023-04-12,2025-10-30,LAPSED,OR,212939.90000000002
GEN_POL_011,GEN_BRK_022,GEN_PROD_005,GEN_UW_012,2021-05-22,2024-08-29,2025-01-24,LAPSED,BIT,241956.43
GEN_POL_012,GEN_BRK_023,GEN_PROD_013,GEN_UW_005,2019-11-01,2017-10-11,2018-10-19,MATURED,TEACH,17749.967
GEN_POL_013,GEN_BRK_003,iGEN_PROD_010,GEN_UW_018,i1900-00-00,2019-04-30,2027-06-08,INVALID_STATUS,PROFESSIONAL,-161229.82
GEN_POL_014,GEN_BRK_011,GEN_PROD_005,GEN_UW_017,2024-05-02,2016-08-21,2024-04-16,ACTIVE,GOOD,161860.18
GEN_POL_015,GEN_BRK_014,GEN_PROD_017,GEN_UW_012,2021-01-24,2019-06-03,2025-07-23,ACTIVE,OPPORTUNITY,91286.82
GEN_POL_016,GEN_BRK_006,GEN_PROD_007,GEN_UW_011,2020-12-05,2024-06-26,2026-09-04,LAPSED,AGAIN,48809.3
GEN_POL_017,GEN_BRK_005,GEN_PROD_005,GEN_UW_003,2020-12-26,2022-01-02,2024-01-25,LAPSED,TRIP,211262.67
GEN_POL_018,GEN_BRK_004,GEN_PROD_017,GEN_UW_018,2022-11-28,2025-04-20,2026-12-29,MATURED,PARENT,221036.86
GEN_POL_019,GEN_BRK_002,GEN_PROD_011,GEN_UW_020,2024-08-21,2024-02-28,2025-08-23,ACTIVE,FEEL,14971.436
GEN_POL_020,GEN_BRK_005,GEN_PROD_006,GEN_UW_006,2023-09-23,2021-01-15,2026-07-28,MATURED,MRS,193003.36
GEN_POL_021,GEN_BRK_026,GEN_PROD_006,GEN_UW_015,2024-04-07,2023-04-18,2029-11-19,ACTIVE,LIKELY,103303.79
GEN_POL_022,GEN_BRK_022,GEN_PROD_008,GEN_UW_015,2023-03-22,2016-05-02,2022-10-25,MATURED,FEW,71947.06
GEN_POL_023,GEN_BRK_024,GEN_PROD_015,GEN_UW_008,2019-03-27,2022-11-21,2028-04-05,MATURED,TROUBLE,60552.96
GEN_POL_024,GEN_BRK_026,iGEN_PROD_016,GEN_UW_007,i2025-13-40,2017-11-07,2028-09-30,UNKNOWN_X,WITHOUT,i169898.4
GEN_POL_025,GEN_BRK_019,iGEN_PROD_015,GEN_UW_015,i1900-00-00,2020-09-27,2027-12-01,UNKNOWN_X,POSITION,i194752.89
GEN_POL_026,GEN_BRK_017,GEN_PROD_017,GEN_UW_014,2025-03-22,2024-09-22,2028-03-02,ACTIVE,WHAT,204405.92
GEN_POL_027,GEN_BRK_026,GEN_PROD_020,GEN_UW_005,2019-05-19,2016-03-19,2017-07-23,LAPSED,GUN,13992.77
GEN_POL_028,GEN_BRK_016,iGEN_PROD_012,GEN_UW_018,i2025-13-40,2018-11-19,2024-03-19,UNKNOWN_X,READ,i178138.84
GEN_POL_029,GEN_BRK_017,GEN_PROD_004,GEN_UW_010,2023-02-24,2019-12-16,2024-07-04,ACTIVE,QUITE,191016.09
GEN_POL_030,GEN_BRK_009,GEN_PROD_015,GEN_UW_017,2025-07-20,2021-09-23,2026-05-05,ACTIVE,LIGHT,207930.63
