life_policy_number,life_customer_identifier,beneficiary_party_identifier,annuity_product_code,policy_issue_date,policy_maturity_date,policy_status,premium_payment_frequency,sum_assured_amount,beneficiary_payout_option
LIFE_POL_001,LIFE_CUST_023,LIFE_BEN_008,LIFE_PROD_010,2015-10-16,2016-06-19,MATURED,145807.34,118841.86,RANGE
LIFE_POL_002,LIFE_CUST_017,LIFE_BEN_012,LIFE_PROD_014,2020-07-06,2022-04-08,MATURED,138046.73,88600.82,SCORE
LIFE_POL_003,LIFE_CUST_015,LIFE_BEN_009,LIFE_PROD_010,2023-11-14,2029-04-04,LAPSED,58403.97,180599.8,THEMSELVES
LIFE_POL_004,iLIFE_CUST_011,LIFE_BEN_004,LIFE_PROD_018,i1900-00-00,2024-02-18,INVALID_STATUS,-47102.31,54879.78,PARTICULAR
LIFE_POL_005,iLIFE_CUST_016,LIFE_BEN_009,LIFE_PROD_019,i1900-00-00,2029-02-09,UNKNOWN_X,-149600.89,245147.15,CONTAIN
LIFE_POL_006,LIFE_CUST_027,LIFE_BEN_007,LIFE_PROD_010,2021-05-29,2027-11-06,ACTIVE,90859.39,76264.63,HISTORY
LIFE_POL_007,LIFE_CUST_023,LIFE_BEN_018,LIFE_PROD_005,2024-12-30,2030-07-21,LAPSED,12333.41,14576.98,WATER
LIFE_POL_008,LIFE_CUST_010,LIFE_BEN_023,LIFE_PROD_005,2016-04-28,2025-02-10,MATURED,21724.684,123228.79,ENTER
LIFE_POL_009,LIFE_CUST_028,LIFE_BEN_001,LIFE_PROD_019,2021-05-27,2025-03-12,LAPSED,117879.84,110676.73,NAME
LIFE_POL_010,LIFE_CUST_006,LIFE_BEN_002,LIFE_PROD_009,2021-11-26,2027-11-27,LAPSED,29407.7,17270.52,TECHNOLOGY
LIFE_POL_011,LIFE_CUST_016,LIFE_BEN_003,LIFE_PROD_019,2020-11-13,2029-02-24,MATURED,171926.3,38780.02,STRUCTURE
LIFE_POL_012,LIFE_CUST_026,LIFE_BEN_019,LIFE_PROD_010,2023-03-15,2030-09-30,ACTIVE,248485.61,30494.44,PM
LIFE_POL_013,LIFE_CUST_025,LIFE_BEN_014,LIFE_PROD_020,2015-02-10,2023-08-25,MATURED,19789.447,57196.1,US
LIFE_POL_014,iLIFE_CUST_017,LIFE_BEN_013,LIFE_PROD_015,i1900-00-00,2024-11-05,INVALID_STATUS,-75040.93,147542.76,COMPANY
LIFE_POL_015,LIFE_CUST_014,LIFE_BEN_010,LIFE_PROD_019,2018-11-30,2020-03-23,MATURED,15997.35,240067.09,MY
LIFE_POL_016,LIFE_CUST_004,LIFE_BEN_025,LIFE_PROD_007,2019-10-11,2023-05-17,MATURED,53545.27,165446.61,CITIZEN
LIFE_POL_017,iLIFE_CUST_006,LIFE_BEN_008,LIFE_PROD_006,i1900-00-00,2020-11-08,iACTIVE,i19691.15,1666.25,HIGH
LIFE_POL_018,LIFE_CUST_015,LIFE_BEN_023,LIFE_PROD_020,2025-03-29,2026-03-31,LAPSED,73523.56,58637.58,RECENT
LIFE_POL_019,LIFE_CUST_023,LIFE_BEN_010,LIFE_PROD_015,2018-12-02,2025-12-21,ACTIVE,172158.85,231053.85,TALK
LIFE_POL_020,LIFE_CUST_026,LIFE_BEN_026,LIFE_PROD_019,2020-08-13,2022-07-18,MATURED,201172.51,50256.98,MEET
LIFE_POL_021,LIFE_CUST_004,LIFE_BEN_018,LIFE_PROD_008,2023-02-23,2027-03-22,MATURED,380983.6,67142.49,DEVELOP
LIFE_POL_022,LIFE_CUST_005,LIFE_BEN_003,LIFE_PROD_002,2025-01-19,2026-06-03,ACTIVE,198364.51,149165.97,RADIO
LIFE_POL_023,LIFE_CUST_027,LIFE_BEN_019,LIFE_PROD_010,2021-12-28,2022-05-16,LAPSED,3196.4060000000004,172480.82,EITHER
LIFE_POL_024,LIFE_CUST_023,LIFE_BEN_013,LIFE_PROD_009,2015-09-26,2017-11-28,MATURED,135455.41,110001.96,PAINTING
LIFE_POL_025,LIFE_CUST_020,LIFE_BEN_002,LIFE_PROD_014,2025-01-28,2026-06-12,MATURED,81258.07,63341.61,CENTER
LIFE_POL_026,iLIFE_CUST_003,LIFE_BEN_008,LIFE_PROD_019,i1900-00-00,2024-01-20,UNKNOWN_X,-237745.78,249893.53,VOTE
LIFE_POL_027,LIFE_CUST_022,LIFE_BEN_027,LIFE_PROD_009,2024-09-25,2025-12-25,MATURED,11017.69,189310.94,ARRIVE
LIFE_POL_028,LIFE_CUST_016,LIFE_BEN_017,LIFE_PROD_015,2017-10-30,2022-03-22,LAPSED,46190.8,146747.08,WIN
LIFE_POL_029,LIFE_CUST_021,LIFE_BEN_027,LIFE_PROD_016,2018-01-23,2026-11-07,ACTIVE,118032.59,102678.68,INTO
LIFE_POL_030,LIFE_CUST_011,LIFE_BEN_022,LIFE_PROD_004,2025-03-13,2029-12-28,ACTIVE,83121.11,173724.74,PUBLIC
