general_claim_number,general_policy_number,underwriting_rule_identifier,insured_vehicle_registration_number,loss_event_date,asset_damage_type,damage_assessment_amount,repair_estimate_amount,surveyor_report_reference,claim_settlement_amount
GEN_CLM_0001,GEN_POL_019,GEN_UW_018,SIMILAR,2018-08-28,SEVERAL,45801.88,192136.86,GARDEN,7702.11
GEN_CLM_0002,GEN_POL_024,GEN_UW_015,STRUCTURE,2022-02-08,CONSUMER,235800.75,53202.45,METHOD,199623.69
GEN_CLM_0003,GEN_POL_027,GEN_UW_003,THAT,2025-08-25,ROAD,204922.43,199118.55,SCIENTIST,102876.26
GEN_CLM_0004,GEN_POL_016,GEN_UW_005,PART,2024-12-21,WHATEVER,15870.067000000003,61263.27,BEYOND,165007.08
GEN_CLM_0001,GEN_POL_023,iGEN_UW_014,iPHYSICAL,2025-13-40,FIRST,-197480.11,19417.32,ALWAYS,247684.45
GEN_CLM_0006,GEN_POL_016,GEN_UW_019,SIDE,2024-11-16,PART,100800.47,127146.55,I,230177.65
GEN_CLM_0007,GEN_POL_023,GEN_UW_014,BAR,2024-08-20,ARRIVE,13636.766000000001,197889.51,WILL,90522.84
GEN_CLM_0008,GEN_POL_029,GEN_UW_018,SPEND,2020-11-04,HAPPEN,148861.17,228685.91,UNTIL,28232.99
GEN_CLM_0009,GEN_POL_008,GEN_UW_012,TECHNOLOGY,2021-09-11,KEEP,42418.28,153556.8,WONDER,141241.85
GEN_CLM_0010,GEN_POL_021,GEN_UW_013,TRIP,2019-01-10,TRUE,241735.97,83567.58,SPEECH,199261.54
GEN_CLM_0001,GEN_POL_004,iGEN_UW_001,iDREAM,2025-13-40,READ,i25553.03,56278.27,TIME,186966.4
GEN_CLM_0012,GEN_POL_018,GEN_UW_019,PLAY,2025-11-25,ACTIVITY,172228.44,56036.9,PROTECT,94155.77
GEN_CLM_0013,GEN_POL_015,GEN_UW_019,STAR,2023-05-19,IDEA,172918.89,38535.49,ARM,249427.98
GEN_CLM_0014,GEN_POL_016,GEN_UW_004,FOCUS,2022-06-18,ANALYSIS,74562.62,230216.34,FROM,22377.85
GEN_CLM_0015,GEN_POL_027,GEN_UW_005,NOTICE,2022-10-22,CITIZEN,87733.83,86423.6,GENERAL,196283.23
GEN_CLM_0016,GEN_POL_017,GEN_UW_016,MORNING,2023-12-08,DO,87726.77,25308.13,CLAIM,180776.49
GEN_CLM_0001,GEN_POL_015,iGEN_UW_011,iAPPLY,1900-00-00,SIGN,-17726.41,12126.08,INCREASE,177983.97
GEN_CLM_0018,GEN_POL_001,GEN_UW_011,LIKE,2024-05-27,PHYSICAL,1623445.1,169607.69,PARENT,41924.17
GEN_CLM_0019,GEN_POL_024,GEN_UW_008,MOTHER,2018-10-07,DOCTOR,129482.48,138425.66,LAY,83416.42
GEN_CLM_0020,GEN_POL_014,GEN_UW_015,FIGURE,2024-09-09,INDEED,58732.03,101856.81,CHOOSE,46928.49
GEN_CLM_0001,GEN_POL_021,iGEN_UW_014,iCAUSE,1900-00-00,BEAUTIFUL,-99500.01,184609.7,MAYBE,220891.25
GEN_CLM_0022,GEN_POL_015,GEN_UW_019,OWNER,2024-05-04,APPEAR,10795.866000000002,2108.06,OFFICIAL,54484.23
GEN_CLM_0023,GEN_POL_009,GEN_UW_003,INSIDE,2020-03-26,BED,144759.63,200076.09,INSIDE,134685.36
GEN_CLM_0024,GEN_POL_012,GEN_UW_011,MORE,2021-09-11,STAFF,50071.49,29374.79,SAVE,168004.66
GEN_CLM_0001,GEN_POL_016,iGEN_UW_017,iCASE,2025-13-40,CENTRAL,-241513.18,79037.62,MEDICAL,97771.18
GEN_CLM_0026,GEN_POL_013,GEN_UW_019,OPERATION,2019-09-08,METHOD,29443.79,88644.25,INDICATE,115007.29
GEN_CLM_0027,GEN_POL_006,GEN_UW_010,REACH,2022-11-11,DEAL,229751.96,147951.92,OPTION,168355.41
GEN_CLM_0028,GEN_POL_011,GEN_UW_004,POWER,2024-04-04,NEED,60404.61,30120.28,EMPLOYEE,93953.21
GEN_CLM_0029,GEN_POL_005,GEN_UW_017,EIGHT,2018-08-11,EXACTLY,9772.735,149510.03,STANDARD,144126.71
GEN_CLM_0030,GEN_POL_014,GEN_UW_006,LAW,2020-10-01,REVEAL,122180.88,134807.44,WINDOW,229871.09
GEN_CLM_0001,GEN_POL_030,iGEN_UW_006,iPARENT,1900-00-00,BUDGET,i139173.23,122920.86,REMAIN,35933.84
GEN_CLM_0032,GEN_POL_011,GEN_UW_015,JOB,2021-08-08,HISTORY,155233.08,216515.04,HAPPEN,238008.65
GEN_CLM_0033,GEN_POL_016,GEN_UW_005,CUT,2020-09-23,GUY,49586.99,96602.1,PHONE,140833.94
GEN_CLM_0034,GEN_POL_021,GEN_UW_016,REALITY,2018-03-17,SPEECH,102874.45,123439.74,FOCUS,177825.45
GEN_CLM_0001,GEN_POL_015,iGEN_UW_016,iCONDITION,2025-13-40,PRACTICE,i42646.12,141784.05,TERM,199174.34
GEN_CLM_0036,GEN_POL_008,GEN_UW_010,SUGGEST,2021-10-05,PRICE,9141.08,56986.01,CHILD,72878.91
GEN_CLM_0037,GEN_POL_025,GEN_UW_015,LET,2018-05-20,WINDOW,141846.96,193364.36,TELEVISION,124333.02
GEN_CLM_0038,GEN_POL_017,GEN_UW_004,EAST,2019-09-13,REVEAL,143605.8,67704.34,HOUR,136233.44
GEN_CLM_0039,GEN_POL_012,GEN_UW_018,CLEARLY,2024-06-12,SHOULD,205830.12,11361.02,TONIGHT,180026.08
GEN_CLM_0040,GEN_POL_018,GEN_UW_007,BED,2018-12-16,SISTER,2474541.6,26501.69,ARM,207687.61
GEN_CLM_0041,GEN_POL_025,GEN_UW_008,EIGHT,2023-04-14,WITH,751295.2000000001,249828.85,CHOOSE,112983.35
GEN_CLM_0042,GEN_POL_012,GEN_UW_003,TROUBLE,2025-01-30,TEN,110328.41,248495.46,FIELD,194132.28
GEN_CLM_0043,GEN_POL_008,GEN_UW_007,ADDRESS,2020-12-02,RULE,20286.498000000003,147393.05,SUMMER,88307.08
GEN_CLM_0044,GEN_POL_023,GEN_UW_020,BRING,2020-08-05,LISTEN,158559.89,42329.42,MARKET,35669.51
GEN_CLM_0045,GEN_POL_007,GEN_UW_007,AGENCY,2020-10-28,DETERMINE,201554.68,142948.51,SISTER,133537.92
GEN_CLM_0046,GEN_POL_020,GEN_UW_018,NOTE,2019-10-21,DEMOCRAT,42925.96,244771.04,OFFICE,73866.04
GEN_CLM_0047,GEN_POL_019,GEN_UW_009,NECESSARY,2024-05-20,EVENING,238146.94,129089.33,OFFICIAL,225138.67
GEN_CLM_0048,GEN_POL_027,GEN_UW_004,MEETING,2023-04-20,SHOW,34761.64,187773.44,CHANCE,103487.46
GEN_CLM_0049,GEN_POL_002,GEN_UW_009,RUN,2023-12-11,RELATE,216894.85,32595.15,AFFECT,216653.62
GEN_CLM_0050,GEN_POL_008,GEN_UW_005,HOWEVER,2022-12-17,WESTERN,178137.32,207291.97,RECORD,190606.92
