life_claim_number,related_life_policy_number,beneficiary_party_identifier,claim_intimation_date,death_notification_date,claimant_relationship,beneficiary_settlement_amount,claim_status,nominee_document_review_status,maturity_claim_amount
LIFE_CLM_0001,LIFE_POL_010,LIFE_BEN_015,2018-01-26,2023-11-07,WIN,151052.79,PENDING_DOCS,ACTIVE,172751.44
LIFE_CLM_0002,LIFE_POL_012,LIFE_BEN_015,2022-03-09,2024-06-05,ME,11546.44,REJECTED,INACTIVE,69364.28
LIFE_CLM_0003,LIFE_POL_026,LIFE_BEN_002,2020-07-19,2018-01-29,SPACE,19685.25,PENDING_DOCS,INACTIVE,128758.42
LIFE_CLM_0004,LIFE_POL_024,LIFE_BEN_022,2021-08-30,2024-10-15,FINAL,40836.69,OPEN,ACTIVE,212318.66
LIFE_CLM_0001,LIFE_POL_022,iLIFE_BEN_026,i2025-13-40,2019-12-20,STYLE,-110105.03,iACTIVE,ACTIVE,59762.85
LIFE_CLM_0006,LIFE_POL_021,LIFE_BEN_012,2018-01-23,2022-08-31,HOUR,91175.5,OPEN,ACTIVE,170086.45
LIFE_CLM_0007,LIFE_POL_012,LIFE_BEN_012,2019-08-09,2021-07-03,US,11154.088000000002,OPEN,ACTIVE,132835.51
LIFE_CLM_0008,LIFE_POL_013,LIFE_BEN_011,2022-10-08,2021-09-20,INDICATE,162740.62,APPROVED,ACTIVE,7452.42
LIFE_CLM_0009,LIFE_POL_006,LIFE_BEN_016,2020-02-16,2019-05-23,SENIOR,12991.857000000002,OPEN,INACTIVE,193966.16
LIFE_CLM_0010,LIFE_POL_023,LIFE_BEN_015,2024-04-09,2023-07-01,IN,54428.04,REJECTED,INACTIVE,50844.41
LIFE_CLM_0011,LIFE_POL_005,LIFE_BEN_028,2025-01-17,2021-03-21,DISCUSSION,19438.96,APPROVED,INACTIVE,249318.34
LIFE_CLM_0012,LIFE_POL_026,LIFE_BEN_022,2020-03-28,2018-09-04,KNOWLEDGE,241922.75,REJECTED,INACTIVE,177675.58
LIFE_CLM_0013,LIFE_POL_018,LIFE_BEN_018,2023-04-27,2020-01-15,NATION,73300.21,REJECTED,ACTIVE,178240.47
LIFE_CLM_0014,LIFE_POL_030,LIFE_BEN_023,2024-07-03,2024-10-21,WHERE,159787.31,REJECTED,ACTIVE,31219.25
LIFE_CLM_0015,LIFE_POL_007,LIFE_BEN_026,2023-03-21,2024-11-14,RULE,35580.34,PENDING_DOCS,ACTIVE,90863.23
LIFE_CLM_0016,LIFE_POL_019,LIFE_BEN_012,2023-10-29,2020-04-24,FEEL,11738.405,APPROVED,ACTIVE,17371.28
LIFE_CLM_0017,LIFE_POL_013,LIFE_BEN_023,2023-07-08,2024-04-27,NIGHT,1799985.5,PENDING_DOCS,INACTIVE,206011.51
LIFE_CLM_0018,LIFE_POL_003,LIFE_BEN_005,2024-11-17,2020-04-15,ITSELF,243122.55,OPEN,INACTIVE,116992.47
LIFE_CLM_0019,LIFE_POL_017,LIFE_BEN_012,2019-08-08,2025-04-05,AUTHORITY,3295.532,APPROVED,ACTIVE,108721.95
LIFE_CLM_0020,LIFE_POL_030,LIFE_BEN_028,2019-07-21,2019-03-01,FIGURE,14797.8,OPEN,ACTIVE,76727.01
LIFE_CLM_0021,LIFE_POL_006,LIFE_BEN_011,2018-12-09,2023-06-02,LOSE,233749.72,APPROVED,INACTIVE,236923.3
LIFE_CLM_0022,LIFE_POL_017,LIFE_BEN_029,2023-04-04,2021-11-07,EXPERT,71728.03,OPEN,INACTIVE,49879.18
LIFE_CLM_0023,LIFE_POL_018,LIFE_BEN_009,2023-12-17,2023-04-19,MILLION,32167.4,REJECTED,ACTIVE,126140.71
LIFE_CLM_0024,LIFE_POL_006,LIFE_BEN_019,2019-08-07,2020-09-23,AFTER,235460.14,APPROVED,ACTIVE,165024.49
LIFE_CLM_0025,LIFE_POL_024,LIFE_BEN_029,2019-04-18,2018-06-04,NOR,151679.59,OPEN,ACTIVE,21224.49
LIFE_CLM_0026,LIFE_POL_021,LIFE_BEN_025,2018-03-10,2019-08-01,BLUE,14461.604000000001,APPROVED,INACTIVE,154909.0
LIFE_CLM_0027,LIFE_POL_001,LIFE_BEN_016,2020-05-26,2020-04-16,CAR,222360.22,REJECTED,INACTIVE,121253.26
LIFE_CLM_0028,LIFE_POL_026,LIFE_BEN_026,2024-02-01,2021-09-24,SHORT,171562.72,REJECTED,INACTIVE,19170.28
LIFE_CLM_0029,LIFE_POL_002,LIFE_BEN_006,2018-01-26,2019-12-25,BELIEVE,1104617.7,PENDING_DOCS,INACTIVE,51801.73
LIFE_CLM_0030,LIFE_POL_020,LIFE_BEN_005,2019-04-14,2018-02-15,MINUTE,7883.304,REJECTED,INACTIVE,243868.16
LIFE_CLM_0031,LIFE_POL_005,LIFE_BEN_025,2019-11-06,2020-11-28,KITCHEN,93264.51,OPEN,INACTIVE,61192.73
LIFE_CLM_0032,LIFE_POL_004,LIFE_BEN_009,2020-08-26,2024-09-07,SUCCESSFUL,112949.41,APPROVED,ACTIVE,13600.72
LIFE_CLM_0033,LIFE_POL_013,LIFE_BEN_028,2022-03-29,2021-02-27,MAJOR,154228.98,APPROVED,ACTIVE,203555.98
