premium_invoice_number,life_policy_number,life_customer_identifier,billing_date,premium_due_date,premium_amount,payment_collection_status,outstanding_premium_amount,payment_method,receipt_reference_number
LIFE_INV_00001,LIFE_POL_019,LIFE_CUST_022,2018-05-12,2024-05-02,136254.53,INACTIVE,204775.99,WRITE,OFTEN
LIFE_INV_00002,LIFE_POL_025,LIFE_CUST_026,2022-06-07,2019-01-15,37472.55,ACTIVE,72619.96,ENVIRONMENT,MEDICAL
LIFE_INV_00003,LIFE_POL_023,LIFE_CUST_003,2023-06-07,2020-07-17,87244.52,INACTIVE,164337.04,DECIDE,HERSELF
LIFE_INV_00004,LIFE_POL_024,LIFE_CUST_016,2025-07-20,2018-06-11,54282.72,INACTIVE,233322.96,TREAT,REFLECT
LIFE_INV_00001,LIFE_POL_023,iLIFE_CUST_009,i2025-13-40,2018-12-17,i35180.97,INVALID_STATUS,61372.05,EAT,PROPERTY
LIFE_INV_00006,LIFE_POL_022,LIFE_CUST_029,2021-09-10,2020-10-05,133229.33,ACTIVE,14070.29,ADMINISTRATION,COMPUTER
LIFE_INV_00001,LIFE_POL_014,iLIFE_CUST_011,i1900-00-00,2020-05-07,i179622.16,UNKNOWN_X,170616.8,PATTERN,CALL
LIFE_INV_00008,LIFE_POL_005,LIFE_CUST_001,2021-05-14,2024-09-17,241165.17,ACTIVE,102319.96,EIGHT,ACT
LIFE_INV_00009,LIFE_POL_030,LIFE_CUST_029,2018-05-11,2022-12-11,219721.51,INACTIVE,162984.13,STEP,ROCK
LIFE_INV_00010,LIFE_POL_025,LIFE_CUST_010,2022-01-16,2023-11-09,80970.76,ACTIVE,227076.3,PICK,CLEAR
LIFE_INV_00011,LIFE_POL_003,LIFE_CUST_021,2021-02-27,2024-07-22,14395.920000000002,ACTIVE,228394.2,BEHIND,ENERGY
LIFE_INV_00012,LIFE_POL_006,LIFE_CUST_014,2019-05-05,2022-04-03,2206790.0,ACTIVE,233546.73,BENEFIT,RICH
LIFE_INV_00013,LIFE_POL_002,LIFE_CUST_027,2023-04-07,2020-11-17,998516.5,INACTIVE,47391.6,WORD,SONG
LIFE_INV_00014,LIFE_POL_024,LIFE_CUST_028,2023-04-27,2018-07-06,231583.88,ACTIVE,3307.52,AS,HEART
LIFE_INV_00015,LIFE_POL_019,LIFE_CUST_020,2023-06-26,2019-04-24,27717.87,INACTIVE,71855.85,SCIENCE,NOT
LIFE_INV_00016,LIFE_POL_021,LIFE_CUST_018,2024-09-25,2018-11-30,131555.32,ACTIVE,212913.87,CAR,METHOD
LIFE_INV_00017,LIFE_POL_015,LIFE_CUST_009,2019-12-24,2020-09-11,49010.04,ACTIVE,83340.34,OPEN,STORY
LIFE_INV_00018,LIFE_POL_024,LIFE_CUST_015,2023-06-26,2024-06-08,162423.05,ACTIVE,4506.96,HAND,SUPPORT
LIFE_INV_00019,LIFE_POL_011,LIFE_CUST_026,2025-08-02,2021-09-25,74461.04,ACTIVE,44698.23,SIGNIFICANT,DATA
LIFE_INV_00020,LIFE_POL_028,LIFE_CUST_021,2018-03-08,2023-11-12,224363.65,INACTIVE,129304.88,HUGE,HELP
LIFE_INV_00021,LIFE_POL_003,LIFE_CUST_013,2024-02-29,2019-02-23,16764.471,ACTIVE,245439.61,ENOUGH,WAY
LIFE_INV_00022,LIFE_POL_016,LIFE_CUST_011,2018-05-03,2022-02-16,234020.52,ACTIVE,65935.53,SEAT,LEFT
LIFE_INV_00023,LIFE_POL_008,LIFE_CUST_015,2022-10-03,2020-07-04,188685.41,INACTIVE,76184.51,OCCUR,SAME
LIFE_INV_00024,LIFE_POL_024,LIFE_CUST_019,2022-03-03,2019-08-13,3847.5,INACTIVE,173499.38,OUR,CULTURE
LIFE_INV_00025,LIFE_POL_002,LIFE_CUST_022,2022-08-16,2020-12-16,30437.99,INACTIVE,40769.49,GAME,SIGN
LIFE_INV_00026,LIFE_POL_022,LIFE_CUST_017,2021-12-26,2020-05-05,230853.4,INACTIVE,172882.3,TRIP,THEORY
LIFE_INV_00027,LIFE_POL_021,LIFE_CUST_030,2023-02-04,2025-10-12,235218.27,INACTIVE,154041.74,TRADITIONAL,ONCE
LIFE_INV_00028,LIFE_POL_008,LIFE_CUST_005,2019-05-14,2018-08-02,120067.29,INACTIVE,187185.97,NICE,CLEAR
LIFE_INV_00029,LIFE_POL_020,LIFE_CUST_012,2021-10-28,2020-07-07,104545.56,INACTIVE,189580.28,TEN,EVERYONE
LIFE_INV_00030,LIFE_POL_026,LIFE_CUST_022,2022-08-10,2021-02-14,206575.27,ACTIVE,170405.14,LONG,A
LIFE_INV_00031,LIFE_POL_020,LIFE_CUST_028,2024-08-07,2023-06-06,19705.53,INACTIVE,132515.11,MOVE,HUNDRED
LIFE_INV_00032,LIFE_POL_012,LIFE_CUST_003,2024-03-29,2019-07-31,229393.93,ACTIVE,16377.75,USE,AFTER
LIFE_INV_00033,LIFE_POL_018,LIFE_CUST_029,2023-04-10,2025-04-16,126866.28,ACTIVE,41969.75,HIMSELF,STAND
LIFE_INV_00034,LIFE_POL_028,LIFE_CUST_017,2023-04-11,2020-01-12,11101.830000000002,ACTIVE,179512.57,FULL,SET
LIFE_INV_00001,LIFE_POL_016,iLIFE_CUST_003,i2025-13-40,2023-08-08,-224823.45,iACTIVE,202364.33,NOTHING,TELL
LIFE_INV_00036,LIFE_POL_015,LIFE_CUST_005,2021-04-18,2019-08-13,1287987.1,INACTIVE,141413.89,NEED,RESULT
LIFE_INV_00001,LIFE_POL_018,iLIFE_CUST_015,i1900-00-00,2024-07-07,i168519.16,UNKNOWN_X,181096.74,OK,CLASS
LIFE_INV_00038,LIFE_POL_013,LIFE_CUST_009,2023-03-20,2020-05-29,204296.85,ACTIVE,144999.5,FUTURE,IT
LIFE_INV_00039,LIFE_POL_002,LIFE_CUST_014,2023-06-15,2020-09-27,86787.69,ACTIVE,135749.71,BRING,BIG
LIFE_INV_00040,LIFE_POL_002,LIFE_CUST_030,2022-06-14,2023-08-10,223660.39,INACTIVE,8901.98,AUDIENCE,ANIMAL
LIFE_INV_00041,LIFE_POL_014,LIFE_CUST_006,2025-02-07,2025-12-23,192474.04,INACTIVE,94240.77,CARRY,COULD
LIFE_INV_00042,LIFE_POL_029,LIFE_CUST_013,2025-06-06,2018-04-08,11268.575,INACTIVE,94535.74,DEFENSE,BOTH
LIFE_INV_00043,LIFE_POL_022,LIFE_CUST_022,2022-02-16,2019-08-19,218763.88,ACTIVE,163729.99,BIT,ALMOST
LIFE_INV_00001,LIFE_POL_012,iLIFE_CUST_004,i2025-13-40,2023-06-17,i45439.93,UNKNOWN_X,132681.79,THINK,IMPORTANT
LIFE_INV_00045,LIFE_POL_024,LIFE_CUST_008,2023-08-07,2022-03-03,208870.58,ACTIVE,244644.18,NEVER,PRICE
