reporting_month,broker_partner_identifier,general_product_code,written_premium_amount,commission_expense_amount,bound_policy_count,quoted_motor_case_count,channel_profitability_amount
d5bea8dc-33e8-4249-baad-584034ef71df,GEN_BRK_001,GEN_PROD_001,1759719.9,77937.19,173,179,2520.34
5b249c2a-9e5c-4dcd-961a-080a3fec0a37,GEN_BRK_002,GEN_PROD_002,217595.81,142013.95,205,35,36326.79
1eb05b4a-1b4f-4d5f-8768-833927ef5357,GEN_BRK_003,GEN_PROD_003,158659.83,8633.62,382,271,54568.09
d5bea8dc-33e8-4249-baad-584034ef71df,GEN_BRK_004,iGEN_PROD_004,-105538.29,85883.1,189,159,180677.4
01b216cf-9d23-43cf-be1f-48c4a9d6290d,GEN_BRK_005,GEN_PROD_005,194432.07,142330.8,43,452,14099.6
f53f091e-8a9e-4964-9b6a-34eac3a58237,GEN_BRK_006,GEN_PROD_006,40195.06,154841.71,345,41,68753.61
5f06bc76-7b77-4e71-9917-38f80ad1c18c,GEN_BRK_007,GEN_PROD_007,165822.73,121929.76,226,212,69018.54
e5eb4549-7e0a-44c2-90bf-29959ee4105d,GEN_BRK_008,GEN_PROD_008,188980.84,29340.56,220,56,71528.37
9313b3a7-e5a1-46e4-a188-6146fc40a3d4,GEN_BRK_009,GEN_PROD_009,169943.08,122171.56,341,157,12308.92
2ed0b0b2-7da5-4b6e-8654-e77dde67a278,GEN_BRK_010,GEN_PROD_010,994205.8999999999,150231.91,3,104,76053.42
82d9a774-ea7f-4c7d-83a6-b204fc014a22,GEN_BRK_011,GEN_PROD_011,53597.26,35171.47,130,148,82702.47
c00b19de-38db-428d-a5db-6e4347bf8db7,GEN_BRK_012,GEN_PROD_012,2924.75,187006.52,89,66,95671.65
86969901-0ddc-4788-a0d4-ba1893a05478,GEN_BRK_013,GEN_PROD_013,17621.414,125565.32,426,342,201743.85
f08d312e-7a73-4f35-ac55-40f0cc9cf41c,GEN_BRK_014,GEN_PROD_014,18946.8,215579.33,21,223,5666.64
58e7edf8-80a2-4721-8856-06848a6fc4b3,GEN_BRK_015,GEN_PROD_015,230369.45,215665.39,294,219,143776.52
d5bea8dc-33e8-4249-baad-584034ef71df,GEN_BRK_016,iGEN_PROD_016,ii177665.24,105005.8,58,207,6193.28
1ed072e9-f9fc-4034-b50a-cc982cbfb769,GEN_BRK_017,GEN_PROD_017,81867.28,200529.22,316,235,208174.45
d5bea8dc-33e8-4249-baad-584034ef71df,GEN_BRK_018,iGEN_PROD_018,ii230022.67,22944.34,432,54,61585.8
ac9204b4-0306-4258-8227-b8d5b0701a53,GEN_BRK_019,GEN_PROD_019,147628.95,131466.67,202,445,78258.37
19ca9c1b-94bc-447a-a122-318935f3de4a,GEN_BRK_020,GEN_PROD_020,85538.81,83934.09,86,39,128110.34
dca1adcc-9cdf-4664-9c91-f845534fc96d,GEN_BRK_021,GEN_PROD_021,29392.63,127978.06,463,397,87994.44
434a130e-8c6e-46ad-afe9-38e4427bbffb,GEN_BRK_022,GEN_PROD_022,182117.4,204918.2,417,75,59830.94
f562037b-78aa-46ea-84f7-f01a3cb526d7,GEN_BRK_023,GEN_PROD_023,37464.61,50120.68,308,78,190293.61
2f14f777-5dad-448e-97d5-2b789cf3137e,GEN_BRK_024,GEN_PROD_024,1642217.4,45109.39,395,321,124035.14
6b49acc6-35e5-44e0-ac87-85467faf6458,GEN_BRK_025,GEN_PROD_025,188857.01,190209.41,229,348,231114.41
