reporting_month,ledger_account_code,underwriting_rule_identifier,general_product_code,claim_reserve_amount,reserve_release_amount,settled_general_claim_count,reserve_movement_reason
5cf85eeb-f053-4851-9ce0-e2bbc7edea02,LEDGER_0001,GEN_UW_001,GEN_PROD_001,72432.97,207610.63,356,SMALL
73461e07-f72c-46c8-855c-0a9796405fcd,LEDGER_0002,GEN_UW_002,GEN_PROD_002,207946.51,189951.45,240,JOB
05e9f407-daad-40b1-af13-2a6d2ad55c0b,LEDGER_0003,GEN_UW_003,GEN_PROD_003,112701.77,2307.55,40,CAR
5cf85eeb-f053-4851-9ce0-e2bbc7edea02,LEDGER_0004,GEN_UW_004,iGEN_PROD_004,ii5731.97,54698.03,76,YEAH
5cf85eeb-f053-4851-9ce0-e2bbc7edea02,LEDGER_0005,GEN_UW_005,iGEN_PROD_005,-137652.26,182081.46,270,iDEVELOP
18763576-1a5e-4196-a5a4-c79b2abaa4f9,LEDGER_0006,GEN_UW_006,GEN_PROD_006,106390.43,194266.99,121,ATTACK
8c662766-7922-4440-a0f1-e44cefd1b588,LEDGER_0007,GEN_UW_007,GEN_PROD_007,7598.665,12889.61,214,ARM
8623bc74-65a2-4cc8-855b-e95d06bfd9c4,LEDGER_0008,GEN_UW_008,GEN_PROD_008,160098.98,156079.83,32,SOUTHERN
4330125c-1a9b-4d42-954f-f37dfefac198,LEDGER_0009,GEN_UW_009,GEN_PROD_009,28603.62,226381.57,305,PREPARE
ee7ca782-a7a3-4d25-9595-6c4227c00f89,LEDGER_0010,GEN_UW_010,GEN_PROD_010,1344773.9000000001,158356.78,294,VALUE
5cf85eeb-f053-4851-9ce0-e2bbc7edea02,LEDGER_0011,GEN_UW_011,iGEN_PROD_011,-61242.6,36750.63,219,iSING
205c8491-a061-49db-b172-f63648bfb602,LEDGER_0012,GEN_UW_012,GEN_PROD_012,1389.52,88851.19,292,CATCH
075072d6-2bac-4712-96a9-19e886d895e5,LEDGER_0013,GEN_UW_013,GEN_PROD_013,1047253.3,166428.45,43,ALREADY
ea4f4a80-dc41-4176-9b59-f28ea9de5b26,LEDGER_0014,GEN_UW_014,GEN_PROD_014,131347.65,90790.34,488,GAS
f99863f2-7799-4ddb-b9e5-46e7dd3ee854,LEDGER_0015,GEN_UW_015,GEN_PROD_015,131988.8,127324.6,259,TRUTH
8c6d768e-45bc-43ba-af52-d36e8a63b93c,LEDGER_0016,GEN_UW_016,GEN_PROD_016,13898.384,98222.98,240,LIGHT
b29769b2-f2cf-4cae-b833-ebfb2296e3f1,LEDGER_0017,GEN_UW_017,GEN_PROD_017,11840.07,97333.45,191,NOTICE
74e0079a-98fb-4727-9740-b2122d5245f4,LEDGER_0018,GEN_UW_018,GEN_PROD_018,64158.92,5044.32,403,PROGRAM
9061498f-e096-421e-a2c7-23d4bfb8abb9,LEDGER_0019,GEN_UW_019,GEN_PROD_019,17822.33,61040.36,336,LEARN
88a613b4-a3b8-4f92-a3c9-0c6a86017633,LEDGER_0020,GEN_UW_020,GEN_PROD_020,157435.98,193103.84,376,FORCE
8a27b0b0-7b4d-4646-98e0-058fe8af301f,LEDGER_0021,GEN_UW_021,GEN_PROD_021,189413.05,34218.99,180,DREAM
4ed0730d-711d-41dd-96ed-0330ce015413,LEDGER_0022,GEN_UW_022,GEN_PROD_022,136957.42,203563.71,89,HISTORY
4db6f475-27dd-4ac4-8282-b6e46986305a,LEDGER_0023,GEN_UW_023,GEN_PROD_023,207765.53,171485.96,356,ACTION
c21f84fc-d0bc-4ad5-85f8-0d9b00060d5a,LEDGER_0024,GEN_UW_024,GEN_PROD_024,120154.26,46387.22,69,THUS
781d5b6c-4969-4032-9808-d79022e49628,LEDGER_0025,GEN_UW_025,GEN_PROD_025,16712.03,194271.41,234,NOR
