reporting_month,health_product_code,provider_party_identifier,hospitalization_claim_count,cashless_authorization_count,approved_medical_claim_amount,average_length_of_stay_days,diagnosis_review_backlog_count,provider_settlement_sla_breach_count
ca179780-be5f-402f-b58a-c73801667221,HLTH_PROD_001,HLTH_PRV_001,426,462,225830.79,ACCOUNT,397,409
850f1cdc-1e2a-43f1-85c5-391093f6f723,HLTH_PROD_002,HLTH_PRV_002,117,310,200681.06,ACCOUNT,112,325
b0117b0a-3496-41d6-a790-55b06001f54d,HLTH_PROD_003,HLTH_PRV_003,97,317,63406.07,SUMMER,386,369
1b4909b6-5cbd-4682-a8aa-123650deef43,HLTH_PROD_004,HLTH_PRV_004,392,337,17053.292,CLEAR,70,321
40ee131d-95da-4216-a6cd-ae3c6d130705,HLTH_PROD_005,HLTH_PRV_005,49,462,157237.07,EVERY,20,158
ca179780-be5f-402f-b58a-c73801667221,HLTH_PROD_006,iHLTH_PRV_006,403,225,ii9307.77,HISTORY,186,374
ae3c2ce6-fde6-449b-868b-22af9ca4364d,HLTH_PROD_007,HLTH_PRV_007,67,46,227497.33,INDUSTRY,167,382
8d56bff6-69c9-420f-b425-449cc145d6ba,HLTH_PROD_008,HLTH_PRV_008,212,89,5099.790000000001,STEP,402,276
5ec646eb-2dc0-4158-bb83-01cf8ebc6d7e,HLTH_PROD_009,HLTH_PRV_009,448,497,92098.53,OPERATION,256,467
fd0ee0b6-40f7-424b-bbd7-b4bf8e0eabb7,HLTH_PROD_010,HLTH_PRV_010,139,425,41971.56,FOOD,467,422
b49b4b72-c631-4c16-9827-bc1d93e0f235,HLTH_PROD_011,HLTH_PRV_011,483,246,241878.63,INFORMATION,151,382
ca179780-be5f-402f-b58a-c73801667221,HLTH_PROD_012,iHLTH_PRV_012,445,173,ii201253.9,RECEIVE,239,493
72540ab7-3ad2-4ac8-bf70-c0421e7c6795,HLTH_PROD_013,HLTH_PRV_013,38,72,188783.72,STAY,115,440
19abdc15-296b-47bf-b301-bb6cb3061300,HLTH_PROD_014,HLTH_PRV_014,346,370,16892.715,DIFFICULT,203,495
56a3dccc-c93c-4cc6-a68b-28da8222cd7f,HLTH_PROD_015,HLTH_PRV_015,433,411,13977.084,SUDDENLY,46,404
af3f9d9a-b272-4aa7-9d30-c42e8cf29000,HLTH_PROD_016,HLTH_PRV_016,202,7,66850.19,SEAT,63,232
f6ee137d-639c-4c6c-a926-205d0d53551a,HLTH_PROD_017,HLTH_PRV_017,188,344,187503.89,PROVIDE,134,299
d2c0dec2-1751-44d7-8deb-2696015aba1d,HLTH_PROD_018,HLTH_PRV_018,195,421,159998.77,CHECK,190,55
6f74e55d-99a9-4f6a-ad05-473278bf46fa,HLTH_PROD_019,HLTH_PRV_019,345,119,118397.74,BEHAVIOR,317,452
5eef0d1e-38c5-4f5e-8359-ff43106793b6,HLTH_PROD_020,HLTH_PRV_020,482,287,82673.56,BASE,312,113
6263307c-b978-4c4b-89aa-55709be950c7,HLTH_PROD_021,HLTH_PRV_021,331,32,159215.58,WORD,237,465
a7fb1997-9d2c-4944-a690-a951fc04ca7a,HLTH_PROD_022,HLTH_PRV_022,358,154,162660.62,NEAR,59,71
98f3f640-f6a9-43e3-b62b-ccb149560c36,HLTH_PROD_023,HLTH_PRV_023,23,484,10265.82,ART,252,59
ca179780-be5f-402f-b58a-c73801667221,HLTH_PROD_024,iHLTH_PRV_024,49,120,ii221927.57,PUSH,69,198
33a315f3-02bd-4abe-b060-78eb7e8eed12,HLTH_PROD_025,HLTH_PRV_025,232,189,167951.07,TO,380,356
