reporting_month,annuity_product_code,maturity_bucket,maturing_life_policy_count,annuity_commencement_count,annualized_premium_amount,beneficiary_exposure_amount,sum_assured_exposure_amount,servicing_state
ba5c865d-b834-4070-a0e5-f6e504c44853,iLIFE_PROD_001,i>5Y,389,26,i51686.0,137755.69,231990.52,RECENTLY
15f39d39-f27f-4ad7-8890-7b6dd240ef02,LIFE_PROD_002,>5Y,450,357,121693.24,8188.49,157875.55,DIRECTION
78ae8d5d-fe26-4e77-9b45-47e072fefdc2,LIFE_PROD_003,1-3Y,363,81,78376.78,4404.94,102589.68,TRIP
d492b51a-3828-4a05-abaa-43c97b4e9ecd,LIFE_PROD_004,1-3Y,430,467,292518.2,236818.12,162279.71,ITEM
95284c0a-cb6b-4562-a488-c84d99d090fd,LIFE_PROD_005,1-3Y,255,477,179434.23,127709.13,69082.8,TEND
a8debd88-9f8a-4deb-ae8f-f5a8c47a3b7e,LIFE_PROD_006,>5Y,241,124,11473.983,37015.85,48461.98,MUCH
af82e70c-b964-4e4f-aaef-cf3b43b7a0ef,LIFE_PROD_007,1-3Y,442,35,69785.6,197711.54,104320.66,GUESS
97314c91-98b6-491b-b416-9e82ec1f41ce,LIFE_PROD_008,3-5Y,420,1,71426.91,75340.41,147147.49,AUTHORITY
21d8b96a-62ad-4157-a0d2-759a3ad51382,LIFE_PROD_009,>5Y,443,76,112190.3,121601.01,83777.55,BOY
dc0e3375-85d0-491c-b3cd-1d56043d72db,LIFE_PROD_010,>5Y,233,477,81122.56,47974.44,174677.11,WHERE
d3966f0a-6b77-4f9e-af32-baf8811db4af,LIFE_PROD_011,>5Y,119,438,194110.57,11868.18,186431.58,CITIZEN
79d29001-2d6b-4a4e-98a7-06099b02c535,LIFE_PROD_012,>5Y,197,339,198306.02,163352.73,38874.22,WEEK
e0b4659a-09fe-4cdd-998d-65ba9d6022c5,LIFE_PROD_013,0-1Y,64,257,241373.04,83666.68,25990.79,STEP
ba5c865d-b834-4070-a0e5-f6e504c44853,iLIFE_PROD_014,i>5Y,51,269,-227699.98,4821.55,36894.7,BETTER
e6e8790b-215d-4b1f-a8cd-f44d7b742440,LIFE_PROD_015,1-3Y,38,240,19559.98,66990.67,156191.59,PLAYER
ba5c865d-b834-4070-a0e5-f6e504c44853,iLIFE_PROD_016,i>5Y,332,41,-213089.56,213232.99,214976.2,WRITER
6e76936a-a634-4d1a-adb6-10f4c65de86e,LIFE_PROD_017,>5Y,488,162,157073.0,221972.23,122498.92,NEARLY
0b1ec578-dff4-4c51-9ed1-0e7f6bb1f2bc,LIFE_PROD_018,0-1Y,316,35,59457.79,171415.49,72557.37,SAVE
f03c664b-3abf-4c65-add0-13f387a20e22,LIFE_PROD_019,1-3Y,382,46,109058.9,25512.34,158803.21,SUFFER
6198b718-c4c7-4ab4-8a20-508d7b6c7129,LIFE_PROD_020,0-1Y,227,85,173806.29,225952.59,12451.75,HARD
e869707c-bdcb-4ffc-8dfb-a4e996cbdafb,LIFE_PROD_021,0-1Y,150,183,94335.43,37246.88,133260.41,SORT
1903f9b3-937c-477c-b25b-6de7d6521e08,LIFE_PROD_022,1-3Y,87,89,20663.12,217839.06,155307.88,LARGE
c40f5405-7a25-4d81-8128-17eb224629cd,LIFE_PROD_023,1-3Y,254,467,146206.13,58814.92,159838.25,EARLY
48842a14-1575-41ad-9bea-e9f8e8fb5a96,LIFE_PROD_024,>5Y,130,341,333.99600000000004,201353.64,225401.15,PIECE
41ff81d1-689d-4205-8b31-f4d8e073c1d0,LIFE_PROD_025,1-3Y,37,226,236363.67,246925.27,75489.41,CURRENT
